City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,bourg-en-bresse,46.1667,5.1667,17.9,92,100,1.69,FR,1686350384
147,misratah,32.3754,15.0925,22.84,67,49,6.35,LY,1686350384
148,puerto leguizamo,-0.1934,-74.7819,23.78,97,53,0.28,CO,1686350384
149,slave lake,55.2834,-114.769,27.99,36,0,7.2,CA,1686350145
150,sumbawa besar,-8.5,117.4333,23.63,82,91,1.57,ID,1686350385
151,valls,41.2861,1.2499,22.05,80,0,0.0,ES,1686350385
152,metz,49.1191,6.1727,20.55,56,0,4.12,FR,1686350386
153,isafjordur,66.0755,-23.124,4.05,92,93,1.2,IS,1686350386
154,itaituba,-4.2761,-55.9836,27.48,71,80,0.99,BR,1686350386
155,pandan,14.0453,124.1694,28.23,80,100,3.0,PH,1686350386
156,zaozersk,69.4005,32.4476,3.91,75,100,5.77,RU,1686350387
157,scarborough,54.2797,-0.4044,11.48,89,12,0.89,GB,1686350090
158,copiapo,-27.3667,-70.3333,13.83,63,0,0.96,CL,1686350387
159,labuan,5.2767,115.2417,25.2,94,20,0.51,MY,1686350388
160,port saint john's,-31.6229,29.5448,15.83,62,2,6.74,ZA,1686350388
161,cape canaveral,28.4058,-80.6048,33.0,76,0,6.69,US,1686350388
162,buala,-8.145,159.5921,28.84,70,80,2.55,SB,1686350388
163,bahia de kino,28.8333,-111.9333,35.51,27,10,4.22,MX,1686350389
164,uturoa,-16.7333,-151.4333,26.79,62,85,6.67,PF,1686350389
165,port colborne,42.9001,-79.2329,19.95,80,72,3.12,CA,1686350390
166,kavaratti,10.5669,72.642,29.56,77,100,11.47,IN,1686350390
167,tual,-5.6667,132.75,27.19,77,79,10.23,ID,1686350390
168,borzya,50.3833,116.5167,14.43,68,87,5.28,RU,1686350390
169,rosetta,31.4044,30.4164,21.81,83,0,6.09,EG,1686350391
170,valparaiso,-33.0393,-71.6273,14.8,76,75,4.63,CL,1686350116
171,elbistan,38.2059,37.1983,17.06,75,63,0.85,TR,1686350391
172,monrovia,6.3005,-10.7969,25.87,86,89,2.51,LR,1686350392
173,villa gesell,-37.2639,-56.973,8.36,54,100,4.81,AR,1686350392
174,ulan bator,47.9077,106.8832,6.07,75,0,1.0,MN,1686350099
175,usinsk,65.9939,57.5281,11.08,48,100,6.82,RU,1686350393
176,vila franca do campo,37.7167,-25.4333,17.23,88,97,1.33,PT,1686350393
177,el abiodh sidi cheikh,32.893,0.5484,25.54,49,100,7.4,DZ,1686350394
178,altai,46.3722,96.2583,16.24,32,91,2.25,MN,1686350394
179,pisco,-13.7,-76.2167,21.03,73,100,6.17,PE,1686350394
180,yamada,39.4667,141.95,17.7,90,100,1.6,JP,1686350394
181,tolga,34.7222,5.3785,34.45,42,99,5.52,DZ,1686350395
182,hermanus,-34.4187,19.2345,12.11,85,35,2.04,ZA,1686350395
183,palkonda,18.6,83.75,29.08,81,98,1.22,IN,1686350395
184,tura,25.5198,90.2201,23.45,97,100,2.64,IN,1686350396
185,forster,-32.1667,152.5167,14.14,60,1,2.13,AU,1686350396
186,brooks,50.5834,-111.8851,29.99,26,98,5.14,CA,1686350396
187,bengkulu,-3.8004,102.2655,23.96,90,74,1.81,ID,1686350397
188,ambovombe,-25.1667,46.0833,19.06,82,0,2.78,MG,1686350397
189,robertsport,6.7533,-11.3686,26.75,82,79,3.19,LR,1686350397
190,santa elena de uairen,4.6167,-61.1333,21.33,87,50,1.28,VE,1686350398
191,chul'man,56.8479,124.9104,15.0,80,12,0.47,RU,1686350398
192,mao,39.8885,4.2658,21.31,100,20,2.57,ES,1686350398
193,khandyga,62.6667,135.6,14.76,70,93,1.6,RU,1686350398
194,homer,59.6425,-151.5483,12.94,57,100,3.6,US,1686350230
195,ust-nera,64.5667,143.2,17.71,48,97,2.73,RU,1686350399
